,分词,分词索引化
80,"['致同', '会计师', '事务所', '特殊', '普通', '合伙', '厦门', '厦', '钨', '新能源', '材料', '股份', '有限公司', '年度', '特定', '对象', '发行', '股', '股票', '财务报表', '审计报告']","[0, 24689, 25653, 2019, 639, 15385, 8854, 73552, 57608, 14623, 1900, 11068, 11426, 6892, 3850, 1679, 5698, 1701, 2913, 40744, 132905]"
81,"['福建', '至理', '律师', '事务所', '厦门', '厦', '钨', '新能源', '材料', '股份', '有限公司', '年度', '特定', '对象', '发行', '股', '股票', '法律', '意见书']","[7309, 0, 3618, 25653, 8854, 73552, 57608, 14623, 1900, 11068, 11426, 6892, 3850, 1679, 5698, 1701, 2913, 799, 92352]"
82,"['通化', '东宝', '上海证券交易所', '公司', '年', '年度报告', '信息', '披露', '监管', '工作', '函', '回复']","[57629, 136124, 151267, 225, 50, 105611, 590, 14061, 4408, 166, 28939, 1446]"
83,"['鲁信', '创投', '选举', '职工', '监事']","[0, 37372, 8980, 10269, 130966]"
84,"['鲁信', '创投', '年', '年度', '股东', '大会决议']","[0, 37372, 50, 6892, 9250, 238172]"
85,"['北京市', '中伦', '律师', '事务所', '鲁信', '创业投资', '集团股份', '有限公司', '年', '年度', '股东大会', '法律', '意见书']","[13079, 0, 3618, 25653, 0, 97289, 163991, 11426, 50, 6892, 70603, 799, 92352]"
86,"['飞乐', '音响', '上', '会', '会计师', '事务所', '特殊', '普通', '合伙', '上海', '飞乐', '音响', '股份', '有限公司', '年', '年度报告', '信息', '披露', '监管', '问询', '函中', '事项', '回复', '意见']","[0, 10744, 24, 30, 24689, 25653, 2019, 639, 15385, 829, 0, 10744, 11068, 11426, 50, 105611, 590, 14061, 4408, 47727, 0, 15891, 1446, 2497]"
87,"['飞乐', '音响', '上海证券交易所']","[0, 10744, 151267]"
88,"['海', '南海', '汽', '运输', '集团股份', '有限公司', '发行', '股份', '支付现金', '购买', '资产', '募集', '配套', '资金', '暨', '关联', '交易', '预案', '问询', '函', '回复']","[3138, 5665, 29541, 4836, 163991, 11426, 5698, 11068, 232391, 1663, 2837, 25802, 8321, 1797, 40297, 6328, 2175, 25818, 47727, 28939, 1446]"
89,"['中', '天运', '会计师', '事务所', '特殊', '普通', '合伙', '海', '南海', '汽', '运输', '集团股份', '有限公司', '发行', '股份', '支付现金', '购买', '资产', '募集', '配套', '资金', '暨', '关联', '交易', '预案', '问询', '函', '回复', '意见']","[60, 161777, 24689, 25653, 2019, 639, 15385, 3138, 5665, 29541, 4836, 163991, 11426, 5698, 11068, 232391, 1663, 2837, 25802, 8321, 1797, 40297, 6328, 2175, 25818, 47727, 28939, 1446, 2497]"
90,"['海', '南海', '汽', '运输', '集团股份', '有限公司', '发行', '股份', '支付现金', '购买', '资产', '募集', '配套', '资金', '暨', '关联', '交易', '预案', '摘要', '修订稿']","[3138, 5665, 29541, 4836, 163991, 11426, 5698, 11068, 232391, 1663, 2837, 25802, 8321, 1797, 40297, 6328, 2175, 25818, 22686, 0]"
91,"['海', '南海', '汽', '运输', '集团股份', '有限公司', '发行', '股份', '支付现金', '购买', '资产', '募集', '配套', '资金', '暨', '关联', '交易', '预案', '修订', '说明']","[3138, 5665, 29541, 4836, 163991, 11426, 5698, 11068, 232391, 1663, 2837, 25802, 8321, 1797, 40297, 6328, 2175, 25818, 22681, 778]"
92,"['中信', '建投', '证券', '股份', '有限公司', '上海证券交易所']","[54001, 0, 9932, 11068, 11426, 151267]"
93,"['北京市', '金杜', '律师', '事务所', '上海证券交易所']","[13079, 0, 3618, 25653, 151267]"
94,"['大集', '公司', '股票交易', '撤销', '退市', '风险', '警示', '部分', '风险', '警示', '情形', '继续', '实施', '风险', '警示', '暨', '临时', '停牌']","[103558, 225, 75275, 16060, 69188, 1361, 14552, 421, 1361, 14552, 6025, 405, 3072, 1361, 14552, 40297, 3922, 49097]"
95,"['大集', '减值', '测试', '涉及', '海南', '供销', '大集', '控股', '有限公司', '股东', '全部', '权益', '价值', '项目', '资产', '评估', '报告']","[103558, 118320, 2353, 1852, 8636, 134822, 103558, 22043, 11426, 9250, 607, 6385, 889, 749, 2837, 5808, 1950]"
96,"['大集', '供销', '大集', '集团股份', '有限公司', '年报', '问询', '函', '专项', '意见']","[103558, 134822, 103558, 163991, 11426, 53429, 47727, 28939, 16977, 2497]"
97,"['盾安', '环境', '监事会', '决议', '更正']","[0, 578, 122159, 17912, 20168]"
98,"['大集', '深圳证券交易所', '年', '年报', '问询', '函', '回复']","[103558, 183356, 50, 53429, 47727, 28939, 1446]"
99,"['侨源', '股份公司', '章程', '年', '月']","[0, 75437, 39252, 50, 161]"
100,"['侨源', '股份', '召开', '年', '第三次', '临时', '股东大会', '通知']","[0, 11068, 9061, 50, 0, 3922, 70603, 3506]"
101,"['侨源', '股份', '股东大会', '议事规则']","[0, 11068, 70603, 173560]"
102,"['侨源', '股份', '使用', '银行', '承兑汇票', '支付', '募投', '项目', '部分', '款项', '募集', '资金', '等额', '置换']","[0, 11068, 308, 1432, 148654, 2377, 0, 749, 421, 31071, 25802, 1797, 67842, 21423]"
103,"['侨源', '股份', '董事会', '议事规则']","[0, 11068, 22872, 173560]"
104,"['侨源', '股份', '中信', '建投', '证券', '股份', '有限公司', '四川', '侨源', '气体', '股份', '有限公司', '使用', '部分', '募集', '资金', '子公司', '增资', '提供', '借款', '实施', '募投', '项目', '核查', '意见']","[0, 11068, 54001, 0, 9932, 11068, 11426, 3650, 0, 6162, 11068, 11426, 308, 421, 25802, 1797, 24811, 114129, 614, 15921, 3072, 0, 749, 41698, 2497]"
105,"['侨源', '股份', '使用', '部分', '自有', '资金', '闲置', '募集', '资金', '进行', '现金管理']","[0, 11068, 308, 421, 6692, 1797, 19109, 25802, 1797, 271, 104092]"
106,"['侨源', '股份', '第四届', '董事会', '第十四次', '会议', '决议']","[0, 11068, 0, 22872, 0, 3764, 17912]"
107,"['侨源', '股份', '中信', '建投', '证券', '股份', '有限公司', '四川', '侨源', '气体', '股份', '有限公司', '调整', '募集', '资金', '投资', '项目', '拟', '投入', '募集', '资金', '金额', '核查', '意见']","[0, 11068, 54001, 0, 9932, 11068, 11426, 3650, 0, 6162, 11068, 11426, 1754, 25802, 1797, 857, 749, 14685, 1599, 25802, 1797, 6343, 41698, 2497]"
108,"['侨源', '股份', '使用', '部分', '募集', '资金', '子公司', '增资', '提供', '借款', '实施', '募投', '项目']","[0, 11068, 308, 421, 25802, 1797, 24811, 114129, 614, 15921, 3072, 0, 749]"
109,"['侨源', '股份', '募集', '资金', '管理制度']","[0, 11068, 25802, 1797, 41087]"
110,"['侨源', '股份', '第四届', '监事会', '第十三次', '会议', '决议']","[0, 11068, 0, 122159, 0, 3764, 17912]"
111,"['侨源', '股份', '调整', '募集', '资金', '投资', '项目', '拟', '投入', '募集', '资金', '金额']","[0, 11068, 1754, 25802, 1797, 857, 749, 14685, 1599, 25802, 1797, 6343]"
112,"['侨源', '股份', '变更', '注册资本', '公司', '类型', '修订']","[0, 11068, 15574, 72262, 225, 2292, 22681]"
